symbol	address	unwrapped_symbol
ETH	0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE	
WETH	0x82aF49447D8a07e3bd95BD0d56f35241523fBab1	
USDC	0xaf88d065e77c8cc2239327c5edb3a432268e5831	
USDT	0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9	
USDe	0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34	
DAI	0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1	
USD0	0x35f1C5cB7Fb977E669fD244C567Da99d8a3a6850	
USDD	0x680447595e8b7b3Aa1B43beB9f6098C79ac2Ab3f	
weETH	0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe	eETH
ezETH	0x2416092f143378750bb29b79eD961ab195CcEea5	
rsETH	0x4186BFC76E2E237523CBC30FD220FE055156b41F	
rETH	0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8	
WBTC	0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f	BTC
cbBTC	0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf	BTC
PEPE	0x25d887Ce7a35172C62FeBFD67a1856F20FaEbB00	
UNI	0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0	
ARB	0x912CE59144191C1204E64559FE8253a0e49E6548	
LDO	0x13Ad51ed4F1B7e9Dc168d8a00cB3f4dDD85EfA60	
LINK	0xf97f4df75117a78c1A5a0DBb814Af92458539FB4	
GRT	0x9623063377AD1B27544C965cCd7342f7EA7e88C7	
APE	0x7f9FBf9bDd3F4105C478b996B648FE6e828a1e98	
PENDLE	0x0c880f6761F1af8d9Aa9C466984b80DAb9a8c9e8	
Cake	0x1b896893dfc86bb67Cf57767298b9073D2c1bA2c	
COMP	0x354A6dA3fcde098F8389cad84b0182725c6C91dE	
W	0xB0fFa8000886e57F86dd5264b9582b2Ad87b2b91	
ZRO	0x6985884C4392D348587B19cb9eAAf157F13271cd	
MAGIC	0x539bdE0d7Dbd336b79148AA742883198BBF60342	
MIM	0xFEa7a6a0B346362BF88A9e4A88416B77a57D6c2A	
SUSHI	0xd4d42F0b6DEF4CE0383636770eF773390d85c61A	
STG	0x6694340fc020c5E6B96567843da2df01b2CE1eb6	
wstETH	0x5979D7b546E38E414F7E9822514be443A4800529	stETH
ZTX	0x1C43D05be7E5b54D506e3DdB6f0305e8A66CD04e	
SNSY	0x3124678D62D2aa1f615B54525310fbfDa6DcF7AE	
SOL	0x2bcC6D6CdBbDC0a4071e48bb3B969b06B3330c07	
sUSDX	0x7788A3538C5fc7F9c7C8A74EAC4c898fC8d87d92	
USDX	0xf3527ef8dE265eAa3716FB312c12847bFBA66Cef	
RDNT	0x3082CC23568eA640225c2467653dB90e9250AaA0	
tBTC	0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40	BTC
sUSDe	0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2	
SYNO	0x577Fd586c9E6BA7f2E85E025D5824DBE19896656	
BAL	0x040d1EdC9569d4Bab2D15287Dc5A4F10F56a56B8	
sfrxETH	0x95aB45875cFFdba1E5f451B950bC2E42c0053f39	
auraBAL	0x223738a747383d6F9f827d95964e4d8E8AC754cE	
AURA	0x1509706a6c66CA549ff0cB464de88231DDBe213B	
DOLA	0x6A7661795C374c0bFC635934efAddFf3A7Ee23b6	
PICKLE	0x965772e0E9c84b6f359c8597C891108DcF1c5B1A	
AAVE	0xba5DdD1f9d7F570dc94a51479a000E3BCE967196	
GHO	0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33	
GMX	0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a	
AI	0x8d7c2588c365b9e98Ea464b63DBCCDf13ECd9809	
FBTC	0xC96dE26018A54D51c097160568752c4E3BD6C364	
Subsquid	0x1337420dED5ADb9980CFc35f8f2B054ea86f8aB1	
axlUSDC	0xEB466342C4d449BC9f53A865D5Cb90586f405215	USDC
MGP	0xa61F74247455A40b01b0559ff6274441FAfa22A3	
KIMA	0x94fCD9c18f99538C0f7C61c5500cA79F0D5C4dab	
CRV	0x11cDb42B0EB46D95f990BeDD4695A6e3fA034978	
ANIME	0x37a645648dF29205C6261289983FB04ECD70b4B3	
SolvBTC	0x3647c54c4c2C65bC7a2D63c0Da2809B399DBBDC0	BTC
mPendle	0xB688BA096b7Bb75d7841e47163Cd12D18B36A5bF	
mBTC	0x2172fAD929E857dDfD7dDC31E24904438434cB0B	
TIA.n	0xD56734d7f9979dD94FAE3d67C7e928234e71cD4C	TIA
EGP	0x7E7a7C916c19a45769f6BDAF91087f93c6C12F78	
USDs	0x2Ea0bE86990E8Dac0D09e4316Bb92086F304622d	
Boop	0x13A7DeDb7169a17bE92B0E3C7C2315B46f4772B3	
LOGX	0x59062301Fb510F4ea2417B67404CB16D31E604BA	
WOO	0xcAFcD85D8ca7Ad1e1C6F82F651fA15E33AEfD07b	
EURC	0xaDDfd192daA492b772EA5c180e79570dEC92fF5c	
FRAX	0x17FC002b466eEc40DaE837Fc4bE5c67993ddBd6F	
RAM	0xAAA6C1E32C55A7Bfa8066A6FAE9b42650F262418	
